Epoch,Latitude_deg,Longitude_deg,Altitude_m,Clock_Bias_m,East_m,North_m,Up_m,ECEF_X_m,ECEF_Y_m,ECEF_Z_m
1,22.305635964600352,114.1803971432052,36.43647551070899,1390061.8829657529,39.413830134133384,-6.897231529207181,25.6465133972486,-2418243.5953299627,5385763.485417555,2405772.173261977
2,22.305642209815524,114.1803998498955,35.02586480602622,1390163.7289425668,39.692716971546474,-6.2056651888284335,24.23590167785354,-2418243.207675649,5385761.941174269,2405772.2776846737
3,22.30564315707139,114.18039894699065,34.83151607494801,1390266.6629520932,39.59968020587675,-6.100770830905334,24.04155362626796,-2418243.0328451158,5385761.778933346,2405772.300965546
4,22.305648221127452,114.18040222690729,33.65517014916986,1390368.7557638846,39.93763392344548,-5.540000550395576,22.865206110045044,-2418242.8081850884,5385760.453502859,2405772.373293944
5,22.305646276447074,114.18039646941651,33.88022637087852,1390471.9671511087,39.344384296911315,-5.755346461805083,23.09026582469592,-2418242.3857515687,5385760.961014272,2405772.2594829453
6,22.305640952962683,114.18038938524195,34.991298460401595,1390575.867853516,38.61443945900335,-6.344845507408909,24.201341810661365,-2418242.2325439253,5385762.40186431,2405772.135801809
7,22.305643825461065,114.18039323233869,34.04691496491432,1390678.1142710287,39.01083764467074,-6.02675742426341,23.25695621458262,-2418242.1868322724,5385761.332298763,2405772.071648162
8,22.305641947739083,114.18039783204269,34.68812165502459,1390781.749544783,39.484795450663036,-6.234686428917799,23.898159788082637,-2418242.894519355,5385761.751334248,2405772.1226457185
9,22.30563185067564,114.18039191789094,36.62336664274335,1390886.2582852964,38.87541601341974,-7.352788784117262,25.833407320402692,-2418243.2458021357,5385764.021428785,2405771.8227284183
10,22.30567643286028,114.18033647563466,24.386406580917537,1390978.059489599,33.1625712866101,-2.4159864883153515,13.59648330563474,-2418232.6294434704,5385754.324114533,2405771.745617402
11,22.305751086628256,114.18010407795934,-17.048360505141318,1391043.2684192255,9.216301419251163,5.8507162287905246,-27.83820650364814,-2418193.7970853373,5385726.299408775,2405763.667278281
12,22.305745279794564,114.18017385324971,-7.612964455038309,1391155.1884131895,16.405906357261852,5.207715253785793,-18.402824326339033,-2418204.031444832,5385731.540613853,2405766.653573863
13,22.30571790273049,114.18025233843225,7.139794457703829,1391271.1769797674,24.493019109388964,2.176151236662097,-3.6500895653561103,-2418217.4709419273,5385741.729076678,2405769.448229314
14,22.30567572564982,114.18030651435343,22.136523975990713,1391386.4436521041,30.07535703491307,-2.4943047213624796,11.346615966609761,-2418228.9726693993,5385753.716881488,2405770.81922653
